Sample,Well,Omit,Target,Task,Dyes,Cq,Cq.Conf,Amp.Score,Amp.Status,Annotated,Baseline.Start,Baseline.End,Curve.Quality,Result.Quality.Issues,Plate,Mean.Cq,Max.diff.Cq,Krill.positive,Comment,Exclude,Sample.number,Bottle.number,Sampling.time.UTC,Date,Latitude,Longitude,Sampling.method,Sampling.type,Sampling.depth,CTD.depth,seawater.temperature,sea.ice,Filter.halved,Filtering.time.UTC,Storage.boxes,Collectors,Comments,Time.between.filtering.and.sampling,Time.between.decimal,Percent.of.5.Litres,CTD.number,CTD.category
151A,H22,FALSE,F3R3,Unknown,FAM-NFQ-MGB,26.9147534,0.641259016,2.546023715,Amp,FALSE,3,23,,NA,3,26.70050727,0.428492275,Yes,,,151,2,22:57,8/03/2021,-62.98983,76.16233,Target trawl,TT 15,surface,,1.14,No,AB,4:45,2A+2B,Derek,after swarm,5:48,5.8,1,NA, 
152A,C4,FALSE,F3R1,Unknown,FAM,Undetermined,0,NA,No Amp,FALSE,3,39,,NA,6,36.99018655,2.372537142,Yes,"If conf-ints are taken into account, meets criteria.",,152,10,7:40,9/03/2021,-63.02047,76.18385,CTD,CTD 59,100,low,0.9,No,AB,11:04,2A+2B,Christine/Liv,krill swarm CTD,3:24,3.4,1,59,59 low
152A,G19,TRUE,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,44,,NA,1,NA,0,No,,,152,10,7:40,9/03/2021,-63.02047,76.18385,CTD,CTD 59,100,low,0.9,No,AB,11:04,2A+2B,Christine/Liv,krill swarm CTD,3:24,3.4,1,59,59 low
153A,D1,FALSE,F3R1,Unknown,FAM-NFQ-MGB,34.24773608,0.955731446,2.653877931,Amp,FALSE,3,31,,NA,5,34.93545103,1.375429897,Yes,,,153,4,7:49,9/03/2021,-63.02028,76.18392,CTD,CTD 59,45,medium,0.8,No,AB,10:20,2A+2B,Christine/Liv,krill swarm CTD,2:31,2.52,1,59,59 medium
153A,G4,FALSE,F3R3,Unknown,FAM-NFQ-MGB,35.56213027,0.958199124,2.525437363,Amp,FALSE,3,30,,NA,5,36.00477135,1.240495422,Yes,,,153,4,7:49,9/03/2021,-63.02028,76.18392,CTD,CTD 59,45,medium,0.8,No,AB,10:20,2A+2B,Christine/Liv,krill swarm CTD,2:31,2.52,1,59,59 medium
154A,A16,FALSE,F3R1,Unknown,FAM,Undetermined,0,NA,No Amp,FALSE,3,39,,NA,6,34.48625502,0,No,,,154,1,7:57,9/03/2021,-63.02035,76.1839,CTD,CTD 59,5,top,0.91,No,AB,10:20,2A+2B,Christine/Liv,krill swarm CTD,2:23,2.38,1,59,59 top
154A,C19,TRUE,F3R3,Unknown,FAM-NFQ-MGB,35.82934605,0.969410888,2.340178736,Amp,FALSE,3,28,,NA,4,36.68313501,1.707577925,Yes,"If conf-ints are taken into account, meets criteria.",,154,1,7:57,9/03/2021,-63.02035,76.1839,CTD,CTD 59,5,top,0.91,No,AB,10:20,2A+2B,Christine/Liv,krill swarm CTD,2:23,2.38,1,59,59 top
155A,L16,TRUE,F3R3,Unknown,FAM-NFQ-MGB,28.59494213,0.828987648,2.540016103,Amp,FALSE,3,22,,NA,2,28.97848366,0.256266037,Yes,,,155,4,0:22,10/03/2021,-62.99933,79.781,Target trawl,TT 18,surface2,,1.16,No,AB,5:48,2A+2B,Derek,,5:26,5.43,1,NA, 
155A,L4,FALSE,F3R1,Unknown,FAM-NFQ-MGB,28.16110202,0.826670902,2.637004701,Amp,FALSE,3,22,,NA,2,28.40745395,0.492703861,Yes,,,155,4,0:22,10/03/2021,-62.99933,79.781,Target trawl,TT 18,surface2,,1.16,No,AB,5:48,2A+2B,Derek,,5:26,5.43,1,NA, 
156A,M4,FALSE,F3R1,Unknown,FAM-NFQ-MGB,27.21154613,0.75866758,2.648419406,Amp,FALSE,3,22,,NA,2,27.36318083,0.290802246,Yes,,,156,2,23:49,10/03/2021,-62.99967,79.78083,Target trawl,TT 18,surface,,1.17,No,AB,2:01,2A+2B,Derek,,2:12,2.2,1,NA, 
156A,M16,FALSE,F3R3,Unknown,FAM-NFQ-MGB,28.49756218,0.82671561,2.568655317,Amp,FALSE,3,22,,NA,2,28.54345257,0.190670183,Yes,,,156,2,23:49,10/03/2021,-62.99967,79.78083,Target trawl,TT 18,surface,,1.17,No,AB,2:01,2A+2B,Derek,,2:12,2.2,1,NA, 
157A,A4,TRUE,F3R3,Unknown,FAM-NFQ-MGB,32.77877289,0.954598932,2.589684299,Amp,FALSE,3,28,,NA,5,31.79183856,0.337120216,Yes,,,157,1,23:56,10/03/2021,-62.99783,79.775,Target trawl,TT 18,surface,,1.16,No,AB,2:47,2A+2B,Derek,,2:51,2.85,1,NA, 
157A,F1,FALSE,F3R1,Unknown,FAM-NFQ-MGB,30.43663186,0.973729914,2.69746737,Amp,FALSE,3,25,,NA,1,30.5919666,0.301920582,Yes,,,157,1,23:56,10/03/2021,-62.99783,79.775,Target trawl,TT 18,surface,,1.16,No,AB,2:47,2A+2B,Derek,,2:51,2.85,1,NA, 
158A,C4,FALSE,F3R1,Unknown,FAM-NFQ-MGB,31.12506584,0.723974372,2.640703889,Amp,FALSE,3,26,,NA,4,31.13257007,0.297802967,Yes,,,158,7,0:03,10/03/2021,-62.996,79.76867,Target trawl,TT 18,surface,,1.17,No,AB,2:47,2A+2B,Derek,,2:44,2.73,1,NA, 
158A,C16,FALSE,F3R3,Unknown,FAM-NFQ-MGB,30.94339371,0.970840801,2.56422715,Amp,FALSE,3,25,,NA,4,31.1412434,0.395699375,Yes,,,158,7,0:03,10/03/2021,-62.996,79.76867,Target trawl,TT 18,surface,,1.17,No,AB,2:47,2A+2B,Derek,,2:44,2.73,1,NA, 
159A,F22,FALSE,F3R3,Unknown,FAM-NFQ-MGB,30.36137599,0.983013718,2.593632625,Amp,FALSE,3,26,,NA,4,30.14124706,0.49522681,Yes,,,159,3,0:15,10/03/2021,-62.998,79.78267,Target trawl,TT 18,surface,,1.16,No,AB,5:48,2A+2B,Derek,,5:33,5.55,1,NA, 
159A,F10,FALSE,F3R1,Unknown,FAM-NFQ-MGB,29.66701859,0.987862923,2.667116405,Amp,FALSE,3,21,,NA,4,29.69490737,0.107403983,Yes,,,159,3,0:15,10/03/2021,-62.998,79.78267,Target trawl,TT 18,surface,,1.16,No,AB,5:48,2A+2B,Derek,,5:33,5.55,1,NA, 
161A,E4,FALSE,F3R1,Unknown,FAM-NFQ-MGB,29.8841759,0.846790219,2.671056383,Amp,FALSE,3,25,,NA,3,29.67001359,0.428324634,Yes,,,161,1,23:42,10/03/2021,-63,79.78817,Target trawl,TT 18,surface,,1.16,No,AB,2:01,2A+2B,Derek,,2:19,2.32,1,NA, 
161A,J4,FALSE,F3R3,Unknown,FAM-NFQ-MGB,29.78019601,0.98239338,2.582328057,Amp,FALSE,3,25,,NA,5,29.87205114,0.263549159,Yes,,,161,1,23:42,10/03/2021,-63,79.78817,Target trawl,TT 18,surface,,1.16,No,AB,2:01,2A+2B,Derek,,2:19,2.32,1,NA, 
163A,B16,FALSE,F3R3,Unknown,FAM-NFQ-MGB,36.77108866,0.865725751,2.241817659,Inconclusive,FALSE,3,30,,NA,4,36.73634041,0.069496511,Yes,,,163,4,16:26,10/03/2021,-63.75318,79.99693,CTD,CTD 61,5,top,0.72,No,AB,18:30,2A+2B,Maddie,,2:04,2.07,1,61,61 top
163A,B4,FALSE,F3R1,Unknown,FAM-NFQ-MGB,36.99138302,0.963889232,2.35567584,Inconclusive,FALSE,3,31,,NA,4,36.34107792,1.300610196,Yes,,,163,4,16:26,10/03/2021,-63.75318,79.99693,CTD,CTD 61,5,top,0.72,No,AB,18:30,2A+2B,Maddie,,2:04,2.07,1,61,61 top
164A,F7,TRUE,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,1.093330311,No Amp,FALSE,3,44,,NA,1,NA,0,No,,,164,2,23:37,10/03/2021,-64.2549,79.99658,CTD,CTD 62,3680,bottom,-0.273,No,AB,2:30,2A+2B,Maddie,,2:53,2.88,1,62,62 bottom
164A,F19,TRUE,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,1.761751298,No Amp,FALSE,3,44,,NA,1,NA,0,No,,,164,2,23:37,10/03/2021,-64.2549,79.99658,CTD,CTD 62,3680,bottom,-0.273,No,AB,2:30,2A+2B,Maddie,,2:53,2.88,1,62,62 bottom
165A,D10,FALSE,F3R1,Unknown,FAM-NFQ-MGB,36.8320366,0.948178647,2.36226718,Inconclusive,FALSE,3,30,,NA,3,36.36820983,0.927653542,Yes,,,165,7,0:59,11/03/2021,-64.25692,79.9981,CTD,CTD 62,5,top,0.624,No,AB,2:30,2A+2B,Maddie,,1:31,1.52,1,62,62 top
165A,D22,TRUE,F3R3,Unknown,FAM-NFQ-MGB,34.66441694,0.5127854,2.259964116,Inconclusive,FALSE,3,30,,NA,3,34.66441694,0,No,,,165,7,0:59,11/03/2021,-64.25692,79.9981,CTD,CTD 62,5,top,0.624,No,AB,2:30,2A+2B,Maddie,,1:31,1.52,1,62,62 top
166A,H4,TRUE,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,44,,NA,1,NA,0,No,,,166,3,6:10,11/03/2021,-64.58468,79.9995,CTD,CTD 63,3597,bottom,-0.08,No,AB,12:25,2A+2B,Liv/Christine,,6:15,6.25,1,63,63 bottom
166A,H16,TRUE,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,44,,NA,1,NA,0,No,,,166,3,6:10,11/03/2021,-64.58468,79.9995,CTD,CTD 63,3597,bottom,-0.08,No,AB,12:25,2A+2B,Liv/Christine,,6:15,6.25,1,63,63 bottom
167A,F7,TRUE,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,39,,NA,4,NA,0,No,,,167,1,8:09,11/03/2021,-64.58583,79.9971,CTD,CTD 63,5,top,0.66,No,AB,12:25,2A+2B,Liv/Christine,,4:16,4.27,1,63,63 top
167A,F19,TRUE,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,39,,NA,4,NA,0,No,,,167,1,8:09,11/03/2021,-64.58583,79.9971,CTD,CTD 63,5,top,0.66,No,AB,12:25,2A+2B,Liv/Christine,,4:16,4.27,1,63,63 top
168A,H7,FALSE,F3R1,Unknown,FAM-NFQ-MGB,36.64497208,0.979307912,2.652991836,Amp,FALSE,3,33,,NA,2,36.16258343,0.964777303,Yes,,,168,10,12:59,11/03/2021,-64.9207,80.00117,CTD,CTD 64,3566,bottom,-0.09,No,AB,16:30,2A+2B,Jess,,3:31,3.52,1,64,64 bottom
168A,H19,TRUE,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,8,,NA,2,NA,0,No,,,168,10,12:59,11/03/2021,-64.9207,80.00117,CTD,CTD 64,3566,bottom,-0.09,No,AB,16:30,2A+2B,Jess,,3:31,3.52,1,64,64 bottom
169A,F4,FALSE,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,1.587057173,No Amp,FALSE,3,39,,NA,3,35.70789671,0,No,,,169,4,14:59,11/03/2021,-64.91937,80.00138,CTD,CTD 64,5,top,0.58,No,AB,16:30,2A+2B,Jess,,1:31,1.52,1,64,64 top
169A,F16,TRUE,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,39,,NA,3,NA,0,No,,,169,4,14:59,11/03/2021,-64.91937,80.00138,CTD,CTD 64,5,top,0.58,No,AB,16:30,2A+2B,Jess,,1:31,1.52,1,64,64 top
170A,D7,TRUE,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,39,,NA,3,NA,0,No,,,170,7,19:15,,NA,NA,,MilliQ,,,NA,,AB,19:20,2A+2B,Mads,,0:05,0.08,1,NA, 
170A,D19,TRUE,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,39,,NA,3,NA,0,No,,,170,7,19:15,,NA,NA,,MilliQ,,,NA,,AB,19:20,2A+2B,Mads,,0:05,0.08,1,NA, 
171A,A22,TRUE,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,39,,NA,3,NA,0,No,,,171,1,20:32,11/03/2021,-65.18183,79.99967,CTD,CTD 65,3530,bottom,-0.1,No,AB,0:11,2A+2B,Derek,,3:39,3.65,1,65,65 bottom
171A,A10,TRUE,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,39,,NA,3,NA,0,No,,,171,1,20:32,11/03/2021,-65.18183,79.99967,CTD,CTD 65,3530,bottom,-0.1,No,AB,0:11,2A+2B,Derek,,3:39,3.65,1,65,65 bottom
172A,J4,FALSE,F3R1,Unknown,FAM-NFQ-MGB,35.13610235,0.942406235,2.509628265,Amp,FALSE,3,29,,NA,3,34.92736743,0.417469829,Yes,,,172,3,22:06,11/03/2021,-65.18033,80.0005,CTD,CTD 65,5,top,-0.14,No,AB,0:11,2A+2B,Derek,,2:05,2.08,1,65,65 top
172A,J16,FALSE,F3R3,Unknown,FAM-NFQ-MGB,32.39881258,0.928383721,2.393804919,Amp,FALSE,3,29,,NA,3,32.72025867,0.572791596,Yes,,,172,3,22:06,11/03/2021,-65.18033,80.0005,CTD,CTD 65,5,top,-0.14,No,AB,0:11,2A+2B,Derek,,2:05,2.08,1,65,65 top
EC1,D10,TRUE,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,1.348764508,No Amp,FALSE,3,44,,NA,2,NA,0,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EC1,D22,TRUE,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,44,,NA,2,NA,0,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EC2,M4,TRUE,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,44,,NA,1,NA,0,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EC2,M16,TRUE,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,44,,NA,1,NA,0,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EC3,K10,TRUE,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,44,,NA,1,NA,0,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EC3,K22,TRUE,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,44,,NA,1,NA,0,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EC4,P1,TRUE,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,44,,NA,2,NA,0,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EC4,P13,TRUE,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,44,,NA,2,NA,0,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EC5,D7,TRUE,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,29,,NA,4,NA,0,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EC5,D19,TRUE,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,39,,NA,4,NA,0,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EC6,C4,TRUE,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,39,,NA,3,NA,0,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EC6,C16,TRUE,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,39,,NA,3,NA,0,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EC7,G10,TRUE,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,1.576585759,No Amp,FALSE,3,39,,NA,3,NA,0,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EC7,G22,TRUE,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,39,,NA,3,NA,0,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EC8,E7,TRUE,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,39,,NA,4,NA,0,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EC8,E19,TRUE,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,39,,NA,4,NA,0,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EC9,H1,TRUE,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,1.506729682,No Amp,FALSE,3,39,,NA,4,NA,0,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EC9,H13,TRUE,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,39,,NA,4,NA,0,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gblock,K1,FALSE,F3R1,Unknown,FAM-NFQ-MGB,29.60327961,0.994817851,2.672340035,Amp,FALSE,3,24,,NA,4,29.62208915,0.037619079,Yes,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gblock,J1,FALSE,F3R1,Unknown,FAM-NFQ-MGB,28.71738203,0.985553963,2.660240744,Amp,FALSE,3,23,,NA,5,28.48547073,0.41008264,Yes,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gblock,O22,TRUE,F3R3,Standard,FAM-NFQ-MGB,28.46757688,0.909971428,2.586440467,Amp,FALSE,3,24,,NA,1,27.68153754,0.466786195,Yes,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gblock,O22,TRUE,F3R3,Standard,FAM-NFQ-MGB,28.61337409,0.835324297,2.571092383,Amp,FALSE,3,25,,NA,2,27.91849436,0.106625701,Yes,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gblock,O22,FALSE,F3R3,Standard,FAM-NFQ-MGB,25.42746623,0.480535137,2.556483381,Amp,FALSE,3,23,,NA,3,25.2457352,0.363462055,Yes,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gblock,K13,FALSE,F3R3,Unknown,FAM-NFQ-MGB,28.57404343,0.988793439,2.563411319,Amp,FALSE,3,21,,NA,4,28.64797948,0.147872109,Yes,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gblock,H7,FALSE,F3R3,Unknown,FAM-NFQ-MGB,27.68006074,0.98442544,2.571942893,Amp,FALSE,3,22,,NA,5,27.79350754,0.226893591,Yes,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gblock,G16,FALSE,F3R1,Unknown,FAM,27.3934511,0.912117556,2.735252241,Amp,FALSE,3,22,,NA,6,27.27055786,0.225065198,Yes,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gblock,O10,FALSE,F3R1,Standard,FAM-NFQ-MGB,29.50207621,0.982226771,2.649779491,Amp,FALSE,3,25,,NA,1,29.34414872,0.315854975,Yes,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gblock,O10,TRUE,F3R1,Standard,FAM-NFQ-MGB,30.40390865,0.867404746,2.646832465,Amp,FALSE,3,26,,NA,2,29.80877644,0.275670971,Yes,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gblock,O10,TRUE,F3R1,Standard,FAM-NFQ-MGB,27.83916221,0.896741019,2.624500044,Amp,FALSE,3,25,,NA,3,28.5644508,0.363324234,Yes,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gblock,O16,TRUE,F3R3,Unknown,FAM,28.27120256,0.983879927,2.715100235,Amp,FALSE,3,21,,NA,6,29.06460601,0.349480747,Yes,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTC,J13,TRUE,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,39,,NA,4,NA,0,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTC,I1,TRUE,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,44,,NA,5,NA,0,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTC,H16,FALSE,F3R1,Unknown,FAM,Undetermined,0,NA,No Amp,FALSE,3,39,,NA,6,NA,0,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTC,N22,TRUE,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,44,,NA,1,NA,0,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTC,N22,TRUE,F3R3,Unknown,FAM-NFQ-MGB,11.83279803,0.879878656,1.990869851,Inconclusive,FALSE,3,6,,NA,2,NA,0,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTC,N22,TRUE,F3R3,Negative Control,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,12,,NA,3,NA,0,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTC,N10,TRUE,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,44,,NA,1,NA,0,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTC,G7,FALSE,F3R3,Unknown,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,44,,NA,5,NA,0,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTC,P16,FALSE,F3R3,Unknown,FAM,Undetermined,0,NA,No Amp,FALSE,3,39,,NA,6,NA,0,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTC,N10,TRUE,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,1.173611629,No Amp,FALSE,3,44,,NA,2,NA,0,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTC,N10,TRUE,F3R1,Negative Control,FAM-NFQ-MGB,Undetermined,0,NA,No Amp,FALSE,3,39,,NA,3,NA,0,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NTC,J1,TRUE,F3R1,Unknown,FAM-NFQ-MGB,Undetermined,0,1.166132417,No Amp,FALSE,3,39,,NA,4,NA,0,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
