"Well","Plate","Sample","Conc..ng.uL.","Water","DNA","Final.volume","Final.concentration","Sample.Type...water.sediment..etc.","Collection.time","Collection.date","Filtered.Date..for.water.samples.","Collection.Location..Site.Area..etc.","Collected.By","Depth..m.","Latitude","Longitude","Comments","Dilution.factor"
"B12","Plate 2","142A",23,26.5,"3.5",30,2.68,"Seawater","5:19","7/03/2021","7/03/2021","CTD 54","AK/SB","5","-66.00067",75.00082,"",0.116666667
"C12","Plate 2","159A",6.5,18,"12",30,2.6,"Seawater","0:15","10/03/2021","10/03/2021","TT 18","Derek","surface","-62.998",79.78267,"",0.4
"D12","Plate 2","062A",26.2,27,"3",30,2.62,"Seawater","8:51","19/02/2021","19/02/2021","CTD 14","Liv","5","-65.00067",60.01283,"",0.1
"E12","Plate 2","096A",0.38,0,"30",30,0.38,"Seawater","7:30","28/02/2021","28/02/2021","CTD 34","Christine/Liv/Liss","4081","-62.83295",70.00108,"",1
"C1","Plate 3","079A",15.5,25,"5",30,2.58,"Seawater","14:24","23/02/2021","23/02/2021","CTD 22","Maddie","5","-66.55453",65.0077,"",0.166666667
"D1","Plate 3","077A",13.7,24.5,"5.5",30,2.51,"Seawater","15:25","21/02/2021","21/02/2021","CTD 21","AK/SB","8","-66.52372",62.44542,"",0.183333333
"F1","Plate 3","066A",8.93,21.5,"8.5",30,2.53,"Seawater","0:45","20/02/2021","20/02/2021","CTD 16","Jed/Dez","3050","-65.93992",59.97225,"only 1/4 filter instead of 1/2 filter",0.283333333
"H1","Plate 3","EC9",0,0,"30",30,0,"","","","","","","","",NA,"quantification out of range",1
"C2","Plate 3","158A",5.81,17,"13",30,2.52,"Seawater","0:03","10/03/2021","10/03/2021","TT 18","Derek","surface","-62.996",79.76867,"",0.433333333
"H2","Plate 3","136A",0,0,"30",30,0,"Seawater","12:17","6/03/2021","6/03/2021","CTD 52","Christine","2147","-66.65215",74.99828,"quantification out of range",1
"A3","Plate 3","069A",0,0,"30",30,0,"Seawater","13:52","20/02/2021","20/02/2021","CTD 18","Derek","2265","-66.40013",60.2512,"quantification out of range",1
"C3","Plate 3","154A",0.313,0,"30",30,0.31,"Seawater","7:57","9/03/2021","9/03/2021","CTD 59","Christine/Liv","5","-63.02035",76.1839,"",1
"D3","Plate 3","EC5",0,0,"30",30,0,"","","","","","","","",NA,"quantification out of range",1
"E3","Plate 3","EC8",0,0,"30",30,0,"","","","","","","","",NA,"quantification out of range",1
"F3","Plate 3","167A",1.25,0,"30",30,1.25,"Seawater","8:09","11/03/2021","11/03/2021","CTD 63","Liv/Christine","5","-64.58583",79.9971,"",1
"H3","Plate 3","118A",0,0,"30",30,0,"Seawater","3:16","3/03/2021","3/03/2021","CTD 44","Liv","2691","-65.667",69.9995,"quantification out of range",1
"A4","Plate 3","084A",17.7,25.5,"4.5",30,2.66,"Seawater","0:14","24/02/2021","24/02/2021","CTD 24","Maddie","5","-66.25328",64.9954,"",0.15
"B4","Plate 3","112A",0.553,0,"30",30,0.55,"Seawater","7:14","2/03/2021","2/03/2021","CTD 41","Liv","3225","-64.76607",70.0005,"",1
"C4","Plate 3","138A",0.331,0,"30",30,0.33,"Seawater","16:17","6/03/2021","6/03/2021","CTD 53","Jez","2430","-66.49977",75.0024,"",1
