"Well","Omit","Sample","Target","Task","Dyes","Cq","Cq.Conf","Amp.Score","Amp.Status","Annotated","Baseline.Start","Baseline.End","Tm1","Tm2","Tm3","Tm4","Curve.Quality","Result.Quality.Issues","X","Plate","Average.Cq","Diff.Cq","Order","Tech.replica","Exclude"
"C5",FALSE,"134A","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,1.317618207,"No Amp",FALSE,3,44,87.08965302,84.78572845,63.3131485,65.8013916,"",NA,NA,"Plate1",38.5752697,0,67,1,"No"
"M7",FALSE,"118A","1","Unknown","FAM","38.68432282",0.992721173,2.873810046,"Amp",FALSE,3,27,74.8140564,NA,NA,NA,"Warning",NA,NA,"Plate4",38.68432282,0,109,3,"No"
"I21",FALSE,"130A","Target 1","Unknown","FAM-NFQ-MGB","38.72068712",0.991731785,2.679676035,"Amp",FALSE,3,32,76.46934509,NA,NA,NA,"",NA,NA,"Plate1",38.72068712,0,329,1,"No"
"M1",FALSE,"072A","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,NA,"No Amp",FALSE,3,44,85.12754059,78.40722656,92.03196716,NA,"",NA,NA,"Plate1",38.78857683,0,13,1,"No"
"E5",FALSE,"114A","1","Unknown","FAM","38.2448259",0.985598656,2.851915598,"Amp",FALSE,3,29,74.99807739,NA,NA,NA,"Warning",NA,NA,"Plate4",39.10027484,1.710897884,69,3,"No"
"E4",FALSE,"138A","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,1.450382461,"No Amp",FALSE,3,44,78.42118835,89.32992554,81.53796387,91.53000641,"",NA,NA,"Plate2",39.33800611,0,53,1,"No"
"O6",FALSE,"054A","1","Unknown","FAM","39.05291277",0.968557262,2.764031778,"Amp",FALSE,3,28,75.09008789,NA,NA,NA,"",NA,NA,"Plate4",39.66277669,1.219727837,95,3,"No"
"G9",FALSE,"083A","Target 1","Unknown","FAM-NFQ-MGB","40.12505738",0.961861018,2.446407512,"Amp",FALSE,3,33,74.97451782,NA,NA,NA,"",NA,NA,"Plate1",39.83340363,0.583307513,135,1,"No"
"G1",FALSE,"077A","Target 1","Unknown","FAM-NFQ-MGB","35.55106016",0.703934445,2.789239404,"Amp",FALSE,3,26,75.21273041,NA,NA,NA,"",NA,NA,"Plate2",39.88896426,8.675808198,7,1,"No"
"C17",FALSE,"061A","Target 1","Unknown","FAM-NFQ-MGB","41.25775686",0.941128585,2.28643359,"Amp",FALSE,3,32,74.96891785,NA,NA,NA,"",NA,NA,"Plate1",39.89290491,2.729703891,259,1,"No"
"K23",FALSE,"048A","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,1.359100771,"No Amp",FALSE,3,44,83.92404175,86.86911011,92.94329834,90.27433777,"",NA,NA,"Plate1",40.04022277,0,363,1,"No"
"M3",FALSE,"115A","1","Unknown","FAM","38.30113097",0.923731097,2.761233834,"Amp",FALSE,3,28,75.00559235,NA,NA,NA,"",NA,NA,"Plate4",40.14265835,3.683054753,45,3,"No"
"I24",FALSE,"062A","Target 1","Unknown","FAM-NFQ-MGB","43.20656246",0.606146225,2.022861687,"Inconclusive",FALSE,3,32,74.16851807,NA,NA,NA,"",NA,NA,"Plate1",40.19413295,6.024859015,377,1,"No"
"E3",FALSE,"154A","Target 1","Unknown","FAM-NFQ-MGB","40.108238",0.978560616,2.493393667,"Inconclusive",FALSE,3,33,74.47937012,NA,NA,NA,"",NA,NA,"Plate2",40.2125482,0.208620399,37,1,"No"
"G1",FALSE,"064A","1","Unknown","FAM","40.55487612",0.887495637,2.553634724,"Amp",FALSE,3,26,75.00559235,NA,NA,NA,"",NA,NA,"Plate4",40.55487612,0,7,3,"No"
"A8",FALSE,"NTC","1","Unknown","FAM","40.56593138",0.969628218,2.640002064,"Amp",FALSE,3,31,79.32256317,NA,NA,NA,"",NA,NA,"Plate4",40.56593138,0,113,3,"No"
"E2",FALSE,"051A","1","Unknown","FAM","Undetermined",0,NA,"No Amp",FALSE,3,44,80.62095642,85.68399048,76.93875122,88.99797058,"",NA,NA,"Plate4",40.59030979,0,21,3,"No"
"C4",FALSE,"112A","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,NA,"No Amp",FALSE,3,31,80.43792725,93.36340332,83.73805237,88.04653931,"",NA,NA,"Plate2",40.59199965,0,51,1,"No"
"O3",FALSE,"097A","1","Unknown","FAM","40.59325961",0.437242292,2.168708258,"Inconclusive",FALSE,3,22,84.57933044,NA,NA,NA,"",NA,NA,"Plate4",40.59325961,0,47,3,"No"
"I7",FALSE,"136A","1","Unknown","FAM","Undetermined",0,NA,"No Amp",FALSE,3,44,72.51380157,81.438797,84.47514343,NA,"",NA,NA,"Plate4",40.62922318,0,105,3,"No"
"K4",FALSE,"078A","1","Unknown","FAM","42.05889166",0.934643399,2.494836298,"Inconclusive",FALSE,3,32,74.8214798,NA,NA,NA,"",NA,NA,"Plate4",40.68560263,2.746578054,59,3,"No"
"I5",FALSE,"141A","1","Unknown","FAM","40.71608048",0.951589049,2.621211776,"Inconclusive",FALSE,3,29,74.90606689,NA,NA,NA,"",NA,NA,"Plate4",40.71608048,0,73,3,"No"
"M4",FALSE,"074A","1","Unknown","FAM","40.78347353",0.961655878,2.636533857,"Inconclusive",FALSE,3,33,74.91353607,NA,NA,NA,"",NA,NA,"Plate4",40.78347353,0,61,3,"No"
"G5",FALSE,"103A","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,NA,"No Amp",FALSE,3,44,85.70729828,93.72496033,78.88768005,81.0072937,"",NA,NA,"Plate1",40.94511184,0,71,1,"No"
"M13",FALSE,"095A","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,1.244278543,"No Amp",FALSE,3,44,91.52075958,71.11627197,89.13104248,82.88101959,"",NA,NA,"Plate1",40.94535309,0,205,1,"No"
"I4",FALSE,"131A","1","Unknown","FAM","41.16973615",0.95631348,2.602686037,"Inconclusive",FALSE,3,30,74.8214798,NA,NA,NA,"",NA,NA,"Plate4",40.94960029,0.440271725,57,3,"No"
"M22",FALSE,"065A","Target 1","Unknown","FAM-NFQ-MGB","40.60467507",0.970650729,2.414227935,"Inconclusive",FALSE,3,32,73.98445129,NA,NA,NA,"",NA,NA,"Plate1",41.33745617,1.465562187,349,1,"No"
"O5",FALSE,"093A","Target 1","Unknown","FAM-NFQ-MGB","43.39542264",0.06793368,1.788501728,"Inconclusive",FALSE,3,28,85.24651337,73.91120148,NA,NA,"",NA,NA,"Plate1",41.63909651,3.512652268,79,1,"No"
"I1",FALSE,"073A","1","Unknown","FAM","41.68974966",0.93999859,2.522794231,"Inconclusive",FALSE,3,32,75.09764099,NA,NA,NA,"",NA,NA,"Plate4",41.68974966,0,9,3,"No"
"C22",FALSE,"172A","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,1.584074307,"No Amp",FALSE,3,44,85.02844238,93.2193985,87.42131042,75.9171524,"",NA,NA,"Plate1",41.90313405,0,339,1,"No"
"K4",FALSE,"063A","Target 1","Unknown","FAM-NFQ-MGB","42.71735951",0.892842856,2.176791672,"Amp",FALSE,3,33,74.81691742,NA,NA,NA,"",NA,NA,"Plate1",42.21976941,0.995180194,59,1,"No"
"I6",FALSE,"128A","1","Unknown","FAM","Undetermined",0,NA,"No Amp",FALSE,3,44,83.73905945,92.38802338,81.62281799,94.5042572,"",NA,NA,"Plate4",42.46017451,0,89,3,"No"
"M10",FALSE,"133A","Target 1","Unknown","FAM-NFQ-MGB","41.92919742",0.673300155,1.998197427,"Inconclusive",FALSE,3,26,85.2670517,NA,NA,NA,"",NA,NA,"Plate1",42.59085176,1.323308678,157,1,"No"
"G6",FALSE,"165A","1","Unknown","FAM","Undetermined",0,1.48438918,"No Amp",FALSE,3,44,82.45091248,90.63983154,85.21121979,87.23544312,"",NA,NA,"Plate4",42.65514188,0,87,3,"No"
"M11",FALSE,"052A","Target 1","Unknown","FAM-NFQ-MGB","42.74926728",0.898955083,2.191147836,"Inconclusive",FALSE,3,36,75.25021362,NA,NA,NA,"",NA,NA,"Plate1",42.74926728,0,173,1,"No"
"M8",FALSE,"056A","Target 1","Unknown","FAM-NFQ-MGB","43.33353024",0.67207235,2.114677161,"Inconclusive",FALSE,3,34,75.20140076,NA,NA,NA,"",NA,NA,"Plate1",42.91104962,0.844961252,125,1,"No"
"A4",FALSE,"168A","1","Unknown","FAM","Undetermined",0,NA,"No Amp",FALSE,3,15,74.8214798,86.14426422,89.2741394,80.43684387,"",NA,NA,"Plate4",42.93676873,0,49,3,"No"
"A9",FALSE,"126A","Target 1","Unknown","FAM-NFQ-MGB","44.90065288",0,1.868255207,"Inconclusive",FALSE,3,33,79.47750092,85.17515564,NA,NA,"",NA,NA,"Plate1",43.16420651,3.472892746,129,1,"No"
"I14",FALSE,"156A","Target 1","Unknown","FAM-NFQ-MGB","43.46256267",0.367618054,2.042574804,"Inconclusive",FALSE,3,34,73.04642487,NA,NA,NA,"",NA,NA,"Plate1",43.46256267,0,217,1,"No"
"E10",FALSE,"081A","Target 1","Unknown","FAM-NFQ-MGB","43.58481048",0.407448508,2.073030207,"Inconclusive",FALSE,3,35,81.03975677,75.15830994,61.92505264,NA,"",NA,NA,"Plate1",43.58481048,0,149,1,"No"
"C4",FALSE,"113A","1","Unknown","FAM","43.92053118",0.010676756,2.133638586,"Inconclusive",FALSE,3,24,84.85549164,NA,NA,NA,"",NA,NA,"Plate4",43.92053118,0,51,3,"No"
"O17",FALSE,"144A","Target 1","Unknown","FAM-NFQ-MGB","Undetermined",0,NA,"No Amp",FALSE,3,44,83.69611359,79.74591064,61.46474457,91.13719177,"",NA,NA,"Plate1",44.38470865,0,271,1,"No"
"C1",FALSE,"075A","1","Unknown","FAM","Undetermined",0,1.834106662,"No Amp",FALSE,3,44,84.94754791,82.09384155,91.57551575,NA,"",NA,NA,"Plate4",NA,0,3,3,"No"
